date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Jul%202025%2005:25:36%20GMT	https://www.vasterad.com/robots.txt		(from )
12:25:36	29492/29492	---M-Z	200	added ('OK')	text/html	etag:%227334-5c097dbeeac80-gzip%22	https://www.vasterad.com/themes/trizzy/	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/index.html	(from )
12:25:36	2453/2453	---M--	200	added ('OK')	text/css	etag:%22995-566b23b150b40%22	https://www.vasterad.com/themes/trizzy/css/colors/green.css	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/css/colors/green.css	(from https://www.vasterad.com/themes/trizzy/)
12:25:37	29492/29492	---M-Z	200	added ('OK')	text/html	etag:%227334-5c097dbeeac80-gzip%22	https://www.vasterad.com/themes/trizzy/index.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/index-2.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:37	149157/149157	---M--	200	added ('OK')	text/css	etag:%22246a5-568e05b57d880%22	https://www.vasterad.com/themes/trizzy/css/style.css	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/css/style.css	(from https://www.vasterad.com/themes/trizzy/)
12:25:37	4244/4244	---M--	200	added ('OK')	image/png	etag:%221094-52cd5d2a15d40%22	https://www.vasterad.com/themes/trizzy/images/logo.png	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/images/logo.png	(from https://www.vasterad.com/themes/trizzy/)
12:25:37	18132/18132	---M-Z	200	added ('OK')	text/html	etag:%2246d4-5c097dc4a3a00-gzip%22	https://www.vasterad.com/themes/trizzy/shopping-cart.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/shopping-cart.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:38	17300/17300	---M-Z	200	added ('OK')	text/html	etag:%224394-5c097dc68be80-gzip%22	https://www.vasterad.com/themes/trizzy/wishlist.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/wishlist.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:38	31105/31105	---M-Z	200	added ('OK')	text/html	etag:%227981-5c097dba26140-gzip%22	https://www.vasterad.com/themes/trizzy/checkout-billing-details.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/checkout-billing-details.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:38	18246/18246	---M-Z	200	added ('OK')	text/html	etag:%224746-5c097dbeeac80-gzip%22	https://www.vasterad.com/themes/trizzy/my-account.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/my-account.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:39	133853/133853	---M--	200	added ('OK')	image/jpeg	etag:%2220add-52cd5d57dc940%22	https://www.vasterad.com/themes/trizzy/images/small_product_list_08.jpg	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/images/small_product_list_08.jpg	(from https://www.vasterad.com/themes/trizzy/)
12:25:41	136944/136944	---M--	200	added ('OK')	image/jpeg	etag:%22216f0-52cd5d58d0b80%22	https://www.vasterad.com/themes/trizzy/images/small_product_list_09.jpg	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/images/small_product_list_09.jpg	(from https://www.vasterad.com/themes/trizzy/)
12:25:41	26700/26700	---M-Z	200	added ('OK')	text/html	etag:%22684c-5c097dc3af7c0-gzip%22	https://www.vasterad.com/themes/trizzy/shop-with-sidebar.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/shop-with-sidebar.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:42	27641/27641	---M-Z	200	added ('OK')	text/html	etag:%226bf9-5c097dc3af7c0-gzip%22	https://www.vasterad.com/themes/trizzy/shop-with-adv-search.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/shop-with-adv-search.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:44	22017/22017	---M-Z	200	added ('OK')	text/html	etag:%225601-5c097dc2bb580-gzip%22	https://www.vasterad.com/themes/trizzy/shop-full-width.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/shop-full-width.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:45	17898/17898	---M-Z	200	added ('OK')	text/html	etag:%2245ea-5c097dc2bb580-gzip%22	https://www.vasterad.com/themes/trizzy/shop-categories-grid.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/shop-categories-grid.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:46	23418/23418	---M-Z	200	added ('OK')	text/html	etag:%225b7a-5c097dc4a3a00-gzip%22	https://www.vasterad.com/themes/trizzy/single-product-page.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/single-product-page.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:46	26663/26663	---M-Z	200	added ('OK')	text/html	etag:%226827-5c097dc68be80-gzip%22	https://www.vasterad.com/themes/trizzy/variable-product-page.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/variable-product-page.html	(from https://www.vasterad.com/themes/trizzy/)
12:25:46	19652/19652	---M-Z	200	added ('OK')	text/html	etag:%224cc4-5c097dbb1a380-gzip%22	https://www.vasterad.com/themes/trizzy/contact.html	C:/Users/nguye/Downloads/heheh/www.vasterad.com/themes/trizzy/contact.html	(from https://www.vasterad.com/themes/trizzy/)
